NAME,price,room type,house_rules,minimum nights,maximum occupancy,review rate number,city
Newly Renovated Greenpoint Abode,981.0,Entire home/apt,No parties & No children under 10 & No smoking,2.0,7,3.0,Chicago
NYC Firehouse-Greenpoint BRKLYN,109.0,Entire home/apt,No smoking & No parties,3.0,3,5.0,Chicago
Beautiful 1 BR by Prospect Park,328.0,Entire home/apt,No parties & No visitors & No children under 10,5.0,3,1.0,Chicago
Amazing place close to all,308.0,Entire home/apt,No children under 10,3.0,3,3.0,Chicago
"Empty 3 bedroom apartment in Bushwick, Brooklyn",459.0,Entire home/apt,No visitors,5.0,3,5.0,Chicago
Best of both world  city and safety easy to get,1014.0,Private room,No pets & No smoking,2.0,1,2.0,Chicago
New Apt -2 Blocks CENTRAL PARK Near COLUMBIA UNIV,906.0,Entire home/apt,No smoking,7.0,6,5.0,Chicago
Amazing new private bedroom 5 min to subway,790.0,Private room,No smoking,2.0,1,3.0,Chicago
"Super spacious cozy one-bedroom apartment, Astoria",809.0,Entire home/apt,No visitors & No smoking,14.0,4,4.0,Chicago
Discounted! Cute Unique 2BR Apartment in SoHo,781.0,Entire home/apt,No parties,2.0,2,4.0,Chicago
Newly renovated & spacious Woodside room,504.0,Private room,No parties,30.0,1,3.0,Chicago
"Big bedroom in Astoria, 20 min from Central Park",110.0,Private room,No parties & No smoking,3.0,1,5.0,Chicago
Studio Deluxe 2- Wyndham Midtown 45,815.0,Private room,No children under 10,3.0,1,5.0,Chicago
Lovely Guestroom in Elevator Building,359.0,Private room,No smoking & No visitors & No parties,2.0,2,1.0,Tampa
Near all shopping & transportation,854.0,Private room,No pets & No children under 10,2.0,2,2.0,Tampa
Bright duplex apartment,164.0,Entire home/apt,No children under 10,2.0,3,1.0,Tampa
Financial District  Private Room,1156.0,Private room,No children under 10 & No pets,1.0,1,4.0,Tampa
Bushwick Den,1173.0,Private room,No visitors & No pets,3.0,1,2.0,Tampa
Perfect Two Bed Railroad Style Apartment,1093.0,Entire home/apt,No pets & No parties,4.0,4,3.0,Tampa
East Manhattan (March 10th-18th),310.0,Private room,No smoking,4.0,1,3.0,Tampa
Spacious 1+ bedroom apt in NYC,547.0,Entire home/apt,No smoking & No parties & No children under 10,1.0,2,5.0,Tampa
Artist Loft East Williamsburg,979.0,Private room,No parties & No smoking,1.0,1,3.0,Tampa
Studio in heart of LES (Manhattan),438.0,Entire home/apt,No pets & No parties,3.0,2,1.0,Tampa
Lux 2Bed/2.5Bath Central Park Views,1004.0,Entire home/apt,No pets & No visitors,30.0,7,5.0,St. Louis
Kan house,749.0,Private room,No pets,1.0,2,4.0,St. Louis
Sublet in Furnished Master Bedroom,930.0,Private room,No smoking & No parties & No pets,1.0,2,5.0,St. Louis
"Private room in large, central Nolita penthouse!",342.0,Private room,No visitors,3.0,2,5.0,St. Louis
1800sf Urban Goddess Brooklyn Loft,898.0,Entire home/apt,No pets & No parties,2.0,4,2.0,St. Louis
Pet & Tony's Residence,271.0,Entire home/apt,No parties & No visitors & No pets,1.0,2,3.0,St. Louis
Comfy room with WiFi. Mins to Central Park!,934.0,Private room,No children under 10,30.0,2,5.0,St. Louis
"Beloved Williamsburg, Brooklyn is calling to you!",332.0,Private room,No pets & No parties & No smoking,3.0,2,4.0,St. Louis
Modern Luxury Loft  3bd  Williamsburg,980.0,Entire home/apt,No visitors & No children under 10,3.0,4,5.0,St. Louis
Huge two bedroom apt n Bayridge!!!,1088.0,Private room,No children under 10,1.0,2,2.0,St. Louis
Peaceful room in Bushwick,79.0,Private room,No parties,1.0,1,3.0,St. Louis
Nice bedroom - Lower East Side,993.0,Private room,No smoking,1.0,2,4.0,St. Louis
Studio Apt. near Empire State Bldg 4B,390.0,Entire home/apt,No smoking,30.0,3,2.0,St. Louis
Cozy Escape in the thriving heart of Bed-Stuy,230.0,Entire home/apt,No pets & No visitors,2.0,3,5.0,St. Louis
Simple Spacious RM near Queens Center Mall & NYPD,311.0,Private room,No visitors & No parties,30.0,2,2.0,Norfolk
Hudson Yard - Lux King Room,1066.0,Private room,No smoking,1.0,1,2.0,Norfolk
Airports Sleep Inn,697.0,Private room,No visitors,3.0,2,4.0,Norfolk
The Center Suites,1190.0,Entire home/apt,No pets & No parties & No visitors,2.0,10,1.0,Norfolk
Private Bedroom in Midtown -Heart of NYC,1143.0,Private room,No smoking,8.0,1,2.0,Norfolk
Spacious 1BD Luxurious room in Queens NYC,1088.0,Private room,No parties & No visitors,2.0,2,1.0,Norfolk
Large studio all to yourself,393.0,Entire home/apt,No pets,7.0,2,3.0,Norfolk
Voted #1 Airbnb In NYC,934.0,Entire home/apt,No children under 10,2.0,3,3.0,Norfolk
"Gorgeous, Family-Friendly, NYC Garden Apt!",709.0,Entire home/apt,No children under 10,3.0,5,5.0,Norfolk
NEW- Spacious & Bright Brooklyn 1 Bed,900.0,Entire home/apt,No children under 10,2.0,4,5.0,Norfolk
Heights IV,895.0,Private room,No pets & No parties & No visitors,1.0,2,5.0,Norfolk
Gorgeous Brownstone Studio @ Central Park West,398.0,Entire home/apt,No children under 10 & No visitors & No smoking,2.0,2,3.0,Norfolk
PRIVATE 1 BED IN APT OFF  PROSPECT PARK |  Q & B,1158.0,Private room,No pets & No visitors,2.0,1,5.0,Norfolk
Brooklyn Retreat,581.0,Private room,No pets & No children under 10 & No smoking,3.0,1,3.0,Norfolk
HUGE 4 Bedroom PERFECT Wilburg Apt. on Bedford Ave,1134.0,Entire home/apt,No children under 10,4.0,9,3.0,Norfolk
Park Slope garden oasis,735.0,Entire home/apt,No children under 10,2.0,2,2.0,Norfolk
3 Bed/ 2 Bath Full Apt. BK Heights,396.0,Entire home/apt,No smoking,2.0,3,1.0,Norfolk
Midtown East 2 Bed/2 Bath Elevator Building Apt,540.0,Entire home/apt,No pets,7.0,4,3.0,Los Angeles
Sunny apartment with easy connections to anywhere.,968.0,Private room,No children under 10,3.0,1,4.0,Los Angeles
"Upper West Side, Manhattan, NY",1083.0,Entire home/apt,No parties & No visitors,6.0,10,1.0,Los Angeles
"Room in Queens, NY, near LGA.",982.0,Private room,No children under 10,1.0,2,2.0,Los Angeles
Best Nest.,371.0,Private room,No pets,1.0,2,4.0,Los Angeles
Cozy Harlem Home,987.0,Private room,No smoking & No parties,1.0,2,2.0,Los Angeles
Enormous Private Room in Shared Apartment,198.0,Private room,No pets & No children under 10,5.0,1,3.0,Los Angeles
Cosy room in a sunny Brooklyn flat,678.0,Private room,No smoking,3.0,1,3.0,Los Angeles
Private Room with Private Bath Upper East Side,359.0,Private room,No children under 10,1.0,2,4.0,Los Angeles
Spacious Luxury Studio-96th and WEA,820.0,Entire home/apt,No parties & No pets,4.0,8,2.0,Los Angeles
Luxury building studio,1076.0,Entire home/apt,No parties & No children under 10,2.0,2,1.0,Los Angeles
Lovely studio,117.0,Entire home/apt,No visitors,1.0,3,4.0,Los Angeles
和缘浪漫民宿,897.0,Private room,No children under 10 & No parties & No visitors,1.0,1,3.0,Billings
"Great Room! Great Price! 
Can wait to see you !",1152.0,Private room,No children under 10 & No parties,2.0,2,5.0,Billings
Sunny 2 bd + Private rooftop on best GP street,293.0,Entire home/apt,No visitors & No parties,3.0,3,3.0,Billings
Large Sofa in Artist's Apartment,944.0,Shared room,No parties,1.0,1,2.0,Billings
"HARLEM, NEW YORK WELCOMES YOU!!",990.0,Private room,No pets,2.0,2,2.0,Billings
Private room with Central Park view,318.0,Private room,No pets & No smoking & No children under 10,10.0,2,4.0,Billings
One Bedroom Apt next to Empire State,339.0,Entire home/apt,No smoking,7.0,2,2.0,Billings
"Home 4 Medical Professionals - The ""Crepitus""",293.0,Private room,No visitors,30.0,2,2.0,Billings
Beautiful duplex in New York,1185.0,Entire home/apt,No pets,7.0,2,4.0,Oklahoma City
Cozy Studio Near Prospect Park,1051.0,Shared room,No visitors & No pets & No smoking,3.0,1,2.0,Oklahoma City
Spacious and clean 1 bedroom - Brooklyn,287.0,Entire home/apt,No children under 10 & No visitors,3.0,3,1.0,Oklahoma City
Upper East Side Space and Access!!,151.0,Private room,No children under 10 & No pets,1.0,2,4.0,Oklahoma City
"Spacious, Manhattan Home has a private room!",1120.0,Private room,No visitors,3.0,2,3.0,Oklahoma City
Sunny Railroad Apt,496.0,Entire home/apt,No smoking & No visitors,6.0,2,3.0,Oklahoma City
Cozy 1 bedroom in Clinton Hill,702.0,Entire home/apt,No visitors & No pets,7.0,2,5.0,Oklahoma City
Chelsea/Union Square cozy studio,406.0,Entire home/apt,No smoking & No parties,2.0,4,3.0,Oklahoma City
Big Apple Retreat,978.0,Entire home/apt,No smoking,3.0,5,3.0,Oklahoma City
Cozy 1 bedroom in Heart of East Village,761.0,Private room,No pets & No smoking,1.0,1,4.0,Oklahoma City
Brooklyn Flavor,741.0,Private room,No pets,3.0,1,4.0,Oklahoma City
