origin,destination,distance,duration
Sarasota,Chicago,"1,972 km",17 hours 55 mins
Sarasota,Chicago,"1,972 km",17 hours 55 mins
Chicago,Sarasota,"1,970 km",17 hours 56 mins
Chicago,Sarasota,"1,970 km",17 hours 56 mins
Washington,Tampa,"1,452 km",13 hours 15 mins
Washington,Tampa,"1,452 km",13 hours 15 mins
Tampa,Washington,"1,453 km",13 hours 15 mins
Tampa,Washington,"1,453 km",13 hours 15 mins
Charleston,St. Louis,"1,379 km",12 hours 43 mins
Charleston,St. Louis,"1,379 km",12 hours 43 mins
St. Louis,Charleston,"1,379 km",12 hours 43 mins
St. Louis,Charleston,"1,379 km",12 hours 43 mins
Jacksonville,Norfolk,986 km,8 hours 53 mins
Jacksonville,Norfolk,986 km,8 hours 53 mins
Norfolk,Jacksonville,986 km,8 hours 54 mins
Norfolk,Jacksonville,986 km,8 hours 54 mins
Phoenix,Billings,"1,946 km",18 hours 23 mins
Phoenix,Billings,"1,946 km",18 hours 23 mins
Billings,Phoenix,"1,951 km",18 hours 34 mins
Billings,Phoenix,"1,951 km",18 hours 34 mins
St. Louis,Oklahoma City,802 km,7 hours 17 mins
St. Louis,Oklahoma City,802 km,7 hours 17 mins
Oklahoma City,St. Louis,803 km,7 hours 19 mins
Oklahoma City,St. Louis,803 km,7 hours 19 mins
Denver,Medford,"2,017 km",19 hours 14 mins
Denver,Medford,"2,017 km",19 hours 14 mins
Medford,Denver,"2,019 km",19 hours 12 mins
Medford,Denver,"2,019 km",19 hours 12 mins
Charleston,New York,"1,220 km",11 hours 26 mins
Charleston,New York,"1,220 km",11 hours 26 mins
New York,Charleston,"1,228 km",11 hours 29 mins
New York,Charleston,"1,228 km",11 hours 29 mins
Dallas,Indianapolis,"1,447 km",13 hours 10 mins
Dallas,Indianapolis,"1,447 km",13 hours 10 mins
Indianapolis,Dallas,"1,432 km",13 hours 14 mins
Indianapolis,Dallas,"1,432 km",13 hours 14 mins
Chicago,Ogdensburg,"1,184 km",11 hours 9 mins
Chicago,Ogdensburg,"1,184 km",11 hours 9 mins
Ogdensburg,Chicago,"1,184 km",11 hours 12 mins
Ogdensburg,Chicago,"1,184 km",11 hours 12 mins
Long Beach,Dallas,"2,329 km",20 hours 57 mins
Long Beach,Dallas,"2,329 km",20 hours 57 mins
Dallas,Long Beach,"2,329 km",20 hours 58 mins
Dallas,Long Beach,"2,329 km",20 hours 58 mins
Huntsville,Indianapolis,640 km,6 hours 8 mins
Huntsville,Indianapolis,640 km,6 hours 8 mins
Indianapolis,Huntsville,648 km,6 hours 8 mins
Indianapolis,Huntsville,648 km,6 hours 8 mins
Bozeman,Los Angeles,"1,764 km",16 hours 8 mins
Bozeman,Los Angeles,"1,764 km",16 hours 8 mins
Los Angeles,Bozeman,"1,762 km",16 hours 3 mins
