Name,Average Cost,Cuisines,Aggregate Rating,City
Le Bernardin,85,French,4.8,New York
Joe's Pizza,15,Italian,4.3,New York
Katz's Delicatessen,25,American,4.5,New York
Eleven Madison Park,95,Contemporary American,4.9,New York
Peter Luger Steak House,60,Steakhouse,4.6,New York
Xi'an Famous Foods,12,Chinese,4.2,New York
Shake Shack,18,American,4.1,New York
The Halal Guys,10,Middle Eastern,4.4,New York
Alinea,120,Molecular Gastronomy,4.9,Chicago
Lou Malnati's Pizzeria,22,Italian,4.5,Chicago
Portillo's,16,American,4.3,Chicago
Girl & the Goat,55,Contemporary American,4.7,Chicago
Au Cheval,35,American,4.6,Chicago
The Purple Pig,40,Mediterranean,4.4,Chicago
Gibsons Bar & Steakhouse,70,Steakhouse,4.5,Chicago
Pequod's Pizza,20,Italian,4.2,Chicago
Joe Stone Crab,65,Seafood,4.6,Miami
Versailles Restaurant,18,Cuban,4.4,Miami
Yardbird Southern Table & Bar,35,Southern,4.5,Miami
Zuma Miami,75,Japanese,4.7,Miami
La Mar by Gaston Acurio,50,Peruvian,4.3,Miami
Prime One Twelve,80,Steakhouse,4.5,Miami
Puerto Sagua,15,Cuban,4.2,Miami
Mama Caritas,25,Mexican,4.1,Miami
Providence,90,Seafood,4.8,Los Angeles
In-N-Out Burger,12,American,4.4,Los Angeles
Guelaguetza,20,Mexican,4.3,Los Angeles
Night + Market,30,Thai,4.5,Los Angeles
Bestia,45,Italian,4.6,Los Angeles
Republique,40,French,4.4,Los Angeles
Pink's Hot Dogs,8,American,3.9,Los Angeles
Musso & Frank Grill,50,American,4.2,Los Angeles
Oleana,55,Mediterranean,4.7,Boston
Union Oyster House,45,Seafood,4.3,Boston
Mike & Patty's,12,American,4.2,Boston
Neptune Oyster,40,Seafood,4.6,Boston
Giacomo's Ristorante,35,Italian,4.4,Boston
The Capital Grille,75,Steakhouse,4.5,Boston
Legal Sea Foods,38,Seafood,4.1,Boston
Regina Pizzeria,18,Italian,4.3,Boston 
